"Brinco","Tatuagem","Correspondente","Data de Nascimento","Data de Entrada","Raça","Status","Idade","Baia","Peso de entrada","AC","Ultimo cio","TSI","Mãe","Pai","DP","SC","CIO","QTD CIO",
"50835","F3712","59057","6/4/2023","11/7/2023","TLLZZ - TN70","","218","","","","1/6/2024","98","BMBE0676","PS01077222","C","CC","Regular","3",
"9653","F3734","9563","6/5/2023","11/7/2023","TZZZZ - AVÓ","","217","","","","12/22/2023","113","","","A","AA","Regular","3",
"9685","F3856","9513","6/11/2023","11/28/2023","TZZZZ - AVÓ","","211","","","","1/8/2024","112","","","A","AA","Regular","1",
"51961","F3441","59185","5/21/2023","10/31/2023","TLLZZ - TN70","","232","","","","1/5/2024","98","BMBE6306","GNHA7581","C","CC","Regular","3",
"52202","F3449","59151","5/21/2023","10/31/2023","TLLZZ - TN70","","232","","","","12/27/2023","98","BMBE0499","BNTK6217","C","CC","Regular","3",
"51666","F3148","54929","5/8/2023","10/24/2023","TLLZZ - TN70","","245","","","","12/22/2023","98","BMBD9795","PS01077222","C","CC","Regular","4",
"9251","F3097","9405","5/7/2023","10/10/2023","TZZZZ - AVÓ","","246","","","","12/21/2023","112","","","A","AA","Regular","1",
"9493","F3096","9688","5/7/2023","10/10/2023","TZZZZ - AVÓ","","246","","","","12/21/2023","112","","","A","AA","Regular","1",
"9497","F3093","9437","5/7/2023","10/10/2023","TZZZZ - AVÓ","","246","","","","12/18/2023","112","","","A","AA","Regular","1",
"51484","F3070","54924","5/7/2023","10/10/2023","TLLZZ - TN70","","246","","","","12/18/2023","111","BMBE6277","BNTK4538","C","CC","Regular","3",
"51492","F3082","54923","5/7/2023","10/10/2023","TLLZZ - TN70","","246","","","","12/23/2023","108","BMBE0729","BNTK4538","C","CC","Regular","3",
"51500","F3075","54914","5/7/2023","10/10/2023","TLLZZ - TN70","","246","","","","12/20/2023","111","BMBE6277","BNTK4538","C","CC","Regular","4",
"51982","F3101","54900","5/7/2023","10/10/2023","TLLZZ - TN70","","246","","","","12/24/2023","98","BMBE3413","FVAD2329","C","CC","Regular","4",
"51987","F3102","54946","5/7/2023","10/10/2023","TLLZZ - TN70","","246","","","","12/22/2023","98","BMBE3413","FVAD2329","C","CC","Regular","2",
"51994","F3087","54912","5/7/2023","10/10/2023","TLLZZ - TN70","","246","","","","12/24/2023","108","BMBE0729","BNTK4538","C","CC","Regular","3",
"9252","F3091","9408","5/7/2023","10/17/2023","TZZZZ - AVÓ","","246","","","","12/17/2023","112","","","A","AA","Regular","3",
"52078","F3057","54919","5/7/2023","10/17/2023","TLLZZ - TN70","","246","","","","12/23/2023","125","BMBE6275","PS01077222","C","CC","Regular","3",
"52431","F3066","54916","5/7/2023","10/17/2023","TLLZZ - TN70","","246","","","","12/15/2023","98","BMBE6312","PS01077170","C","CC","Regular","2",
"52433","F3088","54948","5/7/2023","10/17/2023","TLLZZ - TN70","","246","","","","12/27/2023","108","BMBE0729","BNTK4538","C","CC","Regular","2",
"52443","F3110","54931","5/7/2023","10/17/2023","TLLZZ - TN70","","246","","","","12/19/2023","98","BMBE5904","BNTK6217","C","CC","Regular","2",
"51477","F3034","54865","5/6/2023","10/10/2023","TLLZZ - TN70","","247","","","","12/22/2023","98","BMBE5987","BNTK4538","C","CC","Regular","2",
"51479","F3030","54870","5/6/2023","10/10/2023","TLLZZ - TN70","","247","","","","12/20/2023","98","BMBE5987","BNTK4538","C","CC","Regular","3",
"51498","F3033","53547","5/6/2023","10/10/2023","TLLZZ - TN70","","247","","","","12/18/2023","98","BMBE5987","BNTK4538","C","CC","Regular","4",
"51998","F3056","54867","5/6/2023","10/10/2023","TLLZZ - TN70","","247","","","","12/23/2023","98","BMBE6278","PS01077170","C","CC","Regular","3",
"51412","F3115","54994","5/8/2023","10/24/2023","TLLZZ - TN70","","245","","","","12/17/2023","98","BMBE3407","BNTK4538","C","CC","Regular","3",
"51405","F3160","54950","5/8/2023","10/24/2023","TLLZZ - TN70","","245","","","","12/27/2023","98","BMBE2873","BNTK5513","C","CC","Regular","3",
"51404","F3158","54972","5/8/2023","10/24/2023","TLLZZ - TN70","","245","","","","12/27/2023","98","BMBE2873","BNTK5513","C","CC","Regular","3",
"52450","F3159","54956","5/8/2023","10/17/2023","TLLZZ - TN70","","245","","","","12/27/2023","98","BMBE2873","BNTK5513","C","CC","Regular","4",
"51415","F3169","54981","5/9/2023","10/24/2023","TLLZZ - TN70","","244","","","","12/20/2023","98","BMBE6231","BNTK4611","C","CC","Regular","3",
"51657","F3176","55599","5/9/2023","10/24/2023","TLLZZ - TN70","","244","","","","12/19/2023","98","BMBE0498","BNTK4538","C","CC","Regular","2",
"9259","F3195","9685","5/9/2023","10/31/2023","TZZZZ - AVÓ","","244","","","","12/22/2023","106","","","A","AA","Regular","2",
"51949","F3182","59137","5/9/2023","10/31/2023","TLLZZ - TN70","","244","","","","12/22/2023","98","BMBE0498","BNTK4538","C","CC","Regular","2",
"51966","F3208","59168","5/9/2023","10/31/2023","TLLZZ - TN70","","244","","","","12/16/2023","106","BMBE0424","BNTK4538","C","CC","Regular","2",
"52217","F3166","59147","5/9/2023","10/31/2023","TLLZZ - TN70","","244","","","","12/16/2023","98","BMBE6231","BNTK4611","C","CC","Regular","2",
"51454","F3153","54959","5/8/2023","10/3/2023","TLLZZ - TN70","","245","","","","12/5/2023","98","BMBE0474","FVAD2329","C","CC","Regular","3",
"51476","F3142","54960","5/8/2023","10/10/2023","TLLZZ - TN70","","245","","","","12/20/2023","98","BMBD9795","PS01077222","C","CC","Regular","4",
"51478","F3150","54974","5/8/2023","10/10/2023","TLLZZ - TN70","","245","","","","12/26/2023","98","BMBE0474","FVAD2329","C","CC","Regular","3",
"52430","F3027","54899","5/6/2023","10/17/2023","TLLZZ - TN70","","247","","","","12/20/2023","113","BMBE6198","BNTK6217","C","CC","Regular","3",
"51480","F3145","54992","5/8/2023","10/10/2023","TLLZZ - TN70","","245","","","","12/16/2023","98","BMBD9795","PS01077222","C","CC","Regular","4",
"51488","F3134","54999","5/8/2023","10/10/2023","TLLZZ - TN70","","245","","","","12/17/2023","98","BMBD7892","BNTL1068","C","CC","Regular","2",
"51495","F3128","54958","5/8/2023","10/10/2023","TLLZZ - TN70","","245","","","","12/20/2023","98","BMBD7892","BNTL1068","C","CC","Regular","4",
"51978","F3129","54945","5/8/2023","10/10/2023","TLLZZ - TN70","","245","","","","12/19/2023","98","BMBD7892","BNTL1068","C","CC","Regular","1",
"51983","F3143","54951","5/8/2023","10/10/2023","TLLZZ - TN70","","245","","","","12/25/2023","98","BMBD9795","PS01077222","C","CC","Regular","3",
"51991","F3131","54971","5/8/2023","10/10/2023","TLLZZ - TN70","","245","","","","12/28/2023","98","BMBD7892","BNTL1068","C","CC","Regular","3",
"52079","F3124","54977","5/8/2023","10/17/2023","TLLZZ - TN70","","245","","","","12/19/2023","98","BMBE3179","BNTK4538","C","CC","Regular","4",
"52085","F3140","54964","5/8/2023","10/17/2023","TLLZZ - TN70","","245","","","","12/27/2023","98","BMBE0675","BNTK4538","C","CC","Regular","4",
"52088","F3132","54980","5/8/2023","10/17/2023","TLLZZ - TN70","","245","","","","12/28/2023","98","BMBD7892","BNTL1068","C","CC","Regular","4",
"52096","F3152","54962","5/8/2023","10/17/2023","TLLZZ - TN70","","245","13N","","","12/20/2023","98","BMBE0474","FVAD2329","C","CC","Regular","4",
"51481","F3141","54985","5/8/2023","10/10/2023","TLLZZ - TN70","","245","","","","12/26/2023","98","BMBE0675","BNTK4538","C","CC","Regular","4",
"51413","F3205","55535","5/9/2023","10/24/2023","TLLZZ - TN70","","244","","","","12/19/2023","106","BMBE0424","BNTK4538","C","CC","Regular","2",
"52438","F3025","54874","5/6/2023","10/17/2023","TLLZZ - TN70","","247","","","","12/24/2023","113","BMBE6198","BNTK6217","C","CC","Regular","4",
"51465","F3014","54630","5/5/2023","10/3/2023","TLLZZ - TN70","","248","","","","12/16/2023","98","BMBE2775","BNTK6217","C","CC","Regular","3",
"52084","F2939","54852","5/3/2023","10/17/2023","TLLZZ - TN70","","250","","","","12/20/2023","98","BMBD9724","BNTK6217","C","CC","Regular","2",
"52448","F2955","54857","5/3/2023","10/17/2023","TLLZZ - TN70","","250","","","","12/25/2023","98","BMBE2963","BNTK6217","C","CC","Regular","2",
"51918","F2969","59121","5/3/2023","10/31/2023","TLLZZ - TN70","","250","","","","12/16/2023","98","BMBE6010","BNTK5506","C","CC","Regular","2",
"51456","F2907","54898","5/2/2023","10/3/2023","TLLZZ - TN70","","251","","","","12/23/2023","98","BMBE3408","BNTK5501","C","CC","Regular","3",
"51859","F2842","54736","4/29/2023","9/26/2023","TLLZZ - TN70","","254","","","","12/22/2023","98","BMBD7893","GNHA7657","C","CC","Regular","4",
"52151","F2838","54672","4/28/2023","10/3/2023","TLLZZ - TN70","","255","","","","12/18/2023","112","BMBE6011","BNTL1066","C","CC","Regular","2",
"51946","F2828","54735","4/27/2023","9/26/2023","TLLZZ - TN70","","256","","","","12/7/2023","106","BMBD5150","BNTK5513","C","CC","Regular","2",
"51458","F2832","54790","4/27/2023","10/3/2023","TLLZZ - TN70","","256","","","","12/15/2023","106","BMBD5150","BNTK5513","C","CC","Regular","4",
"51473","F2822","54794","4/26/2023","10/3/2023","TLLZZ - TN70","","257","","","","12/15/2023","112","BMBD7465","BNTL1066","C","CC","Regular","3",
"52169","F2803","54784","4/25/2023","10/3/2023","TLLZZ - TN70","","258","","","","12/16/2023","117","BMBD0435","BJ01021555","C","CC","Regular","3",
"51990","F2754","54665","4/23/2023","10/10/2023","TLLZZ - TN70","","260","","","","12/9/2023","98","BMBD0469","BNTK5501","C","CC","Regular","3",
"51474","F2714","54689","4/21/2023","10/3/2023","TLLZZ - TN70","","262","","","","12/1/2023","98","BMBE0295","PS01078362","C","CC","Regular","3",
"52027","F2692","54600","4/20/2023","9/19/2023","TLLZZ - TN70","","263","","","","11/19/2023","98","BMBE0294","PS01078362","C","CC","Regular","2",
"9469","F2636","9451","4/17/2023","9/26/2023","TZZZZ - AVÓ","","266","","","","11/12/2023","104","","","A","AA","Regular","1",
"9439","F2596","9470","4/16/2023","9/19/2023","TZZZZ - AVÓ","","267","","","","10/21/2023","117","","","A","AA","Regular","1",
"9442","F2594","9467","4/16/2023","9/26/2023","TZZZZ - AVÓ","","267","","","","12/28/2023","117","","","A","AA","Regular","1",
"9426","F2569","9472","4/14/2023","9/12/2023","TZZZZ - AVÓ","","269","","","","11/22/2023","118","","","A","AA","Regular","3",
"52498","F2437","53783","4/8/2023","9/19/2023","TLLZZ - TN70","","275","","","","11/6/2023","97","BMBE5212","GNHA5400","C","CC","Regular","3",
"9399","F2172","9730","3/24/2023","8/29/2023","TZZZZ - AVÓ","","290","","","","12/4/2023","105","","","A","AA","Regular","1",
"52082","F2952","54881","5/3/2023","10/17/2023","TLLZZ - TN70","","250","","","","12/16/2023","98","BMBE2894","BNTK6217","C","CC","Regular","3",
"9254","F2977","9710","5/3/2023","10/17/2023","TZZZZ - AVÓ","","250","","","","12/26/2023","115","","","A","AA","Regular","3",
"51981","F2948","54836","5/3/2023","10/10/2023","TLLZZ - TN70","","250","","","","12/29/2023","98","BMBE2894","BNTK6217","C","CC","Regular","3",
"51499","F2972","54868","5/3/2023","10/10/2023","TLLZZ - TN70","","250","","","","12/18/2023","98","BMBE6010","BNTK5506","C","CC","Regular","4",
"51988","F3012","54830","5/5/2023","10/10/2023","TLLZZ - TN70","","248","","","","12/22/2023","98","BMBE2775","BNTK6217","C","CC","Regular","4",
"52000","F3015","54869","5/5/2023","10/10/2023","TLLZZ - TN70","","248","","","","12/22/2023","98","BMBE2775","BNTK6217","C","CC","Regular","4",
"52440","F3013","54635","5/5/2023","10/17/2023","TLLZZ - TN70","","248","","","","12/24/2023","98","BMBE2775","BNTK6217","C","CC","Regular","4",
"51854","F3002","54891","5/4/2023","9/26/2023","TLLZZ - TN70","","249","","","","12/18/2023","98","BMBE2771","BNTL1142","C","CC","Regular","3",
"51453","F2991","54884","5/4/2023","10/3/2023","TLLZZ - TN70","","249","","","","12/21/2023","112","BMBE5984","BJ01021544","C","CC","Regular","3",
"51457","F2983","54840","5/4/2023","10/3/2023","TLLZZ - TN70","","249","","","","12/15/2023","98","BMBE6202","BNTK5506","C","CC","Regular","4",
"51459","F2986","54761","5/4/2023","10/3/2023","TLLZZ - TN70","","249","","","","12/21/2023","98","BMBE6202","BNTK5506","C","CC","Regular","2",
"52155","F2982","54879","5/4/2023","10/3/2023","TLLZZ - TN70","","249","","","","12/15/2023","98","BMBE6202","BNTK5506","C","CC","Regular","3",
"52158","F3007","54889","5/4/2023","10/3/2023","TLLZZ - TN70","","249","","","","12/20/2023","98","BMBE2771","BNTL1142","C","CC","Regular","4",
"51039","F5901","59019","5/6/2023","11/7/2023","TLLZZ - TN70","","247","","","","12/22/2023","98","BMBD9724","BNTL2361","C","CC","Regular","2",
"52159","F3006","54732","5/4/2023","10/3/2023","TLLZZ - TN70","","249","","","","12/19/2023","98","BMBE2771","BNTL1142","C","CC","Regular","4",
"9257","F3000","9681","5/4/2023","10/31/2023","TZZZZ - AVÓ","","249","","","","12/16/2023","109","","","A","AA","Regular","2",
"51856","F2916","54757","5/3/2023","9/26/2023","TLLZZ - TN70","","250","","","","12/20/2023","98","BMBE2959","BNTL1142","C","CC","Regular","4",
"51460","F2935","54759","5/3/2023","10/3/2023","TLLZZ - TN70","","250","","","","12/14/2023","98","BMBD9724","BNTK6217","C","CC","Regular","3",
"51464","F2912","54862","5/3/2023","10/3/2023","TLLZZ - TN70","","250","","","","12/23/2023","98","BMBE2959","BNTL1142","C","CC","Regular","3",
"52152","F2915","54763","5/3/2023","10/3/2023","TLLZZ - TN70","","250","","","","12/15/2023","98","BMBE2959","BNTL1142","C","CC","Regular","3",
"52167","F2923","54626","5/3/2023","10/3/2023","TLLZZ - TN70","","250","","","","12/23/2023","98","BMBE6273","BNTK5501","C","CC","Regular","4",
"52168","F2924","54768","5/3/2023","10/3/2023","TLLZZ - TN70","","250","","","","12/24/2023","98","BMBE6273","BNTK5501","C","CC","Regular","3",
"52173","F2929","54831","5/3/2023","10/3/2023","TLLZZ - TN70","","250","","","","12/19/2023","98","BMBE6273","BNTK5501","C","CC","Regular","4",
"9496","F2980","9667","5/3/2023","10/10/2023","TZZZZ - AVÓ","","250","","","","12/20/2023","115","","","A","AA","Regular","1",
"51985","F2992","54631","5/4/2023","10/10/2023","TLLZZ - TN70","","249","","","","12/22/2023","112","BMBE5984","BJ01021544","C","CC","Regular","2",
"51970","F3452","55773","5/21/2023","10/31/2023","TLLZZ - TN70","","232","","","","12/19/2023","98","BMBE0499","BNTK6217","C","CC","Regular","2",
"52446","F3191","55510","5/9/2023","10/17/2023","TLLZZ - TN70","","244","","","","12/24/2023","98","BMBE0475","BNTK4538","C","CC","Regular","4",
"51976","F3168","54978","5/9/2023","10/10/2023","TLLZZ - TN70","","244","","","","12/18/2023","98","BMBE6231","BNTK4611","C","CC","Regular","4",
"52445","F3384","55722","5/17/2023","10/17/2023","TLLZZ - TN70","","236","","","","12/24/2023","98","BMBE3700","GNHB5540","C","CC","Regular","2",
"51411","F3380","55736","5/17/2023","10/24/2023","TLLZZ - TN70","","236","","","","12/22/2023","98","BMBE3700","GNHB5540","C","CC","Regular","3",
"51414","F3379","53999","5/17/2023","10/24/2023","TLLZZ - TN70","","236","","","","12/26/2023","98","BMBD5676","BNTL4064","C","CC","Regular","3",
"51653","F3375","55689","5/17/2023","10/24/2023","TLLZZ - TN70","","236","","","","12/24/2023","98","BMBD5676","BNTL4064","C","CC","Regular","3",
"51654","F3372","55707","5/17/2023","10/24/2023","TLLZZ - TN70","","236","","","","12/24/2023","98","BMBD5676","BNTL4064","C","CC","Regular","3",
"51660","F3381","55744","5/17/2023","10/24/2023","TLLZZ - TN70","","236","5V","","","1/6/2024","98","BMBE3700","GNHB5540","C","CC","Regular","3",
"51663","F3382","55771","5/17/2023","10/24/2023","TLLZZ - TN70","","236","","","","1/8/2024","98","BMBE3700","GNHB5540","C","CC","Regular","4",
"51674","F3378","55500","5/17/2023","10/24/2023","TLLZZ - TN70","","236","","","","12/27/2023","98","BMBD5676","BNTL4064","C","CC","Regular","3",
"51903","F3373","59113","5/17/2023","10/31/2023","TLLZZ - TN70","","236","","","","12/27/2023","98","BMBD5676","BNTL4064","C","CC","Regular","3",
"51951","F3389","59197","5/17/2023","10/31/2023","TLLZZ - TN70","","236","","","","12/31/2023","98","BMBE3700","GNHB5540","C","CC","Regular","3",
"51954","F3376","59115","5/17/2023","10/31/2023","TLLZZ - TN70","","236","","","","1/4/2024","98","BMBD5676","BNTL4064","C","CC","Regular","4",
"52219","F3377","59179","5/17/2023","10/31/2023","TLLZZ - TN70","","236","","","","12/24/2023","98","BMBD5676","BNTL4064","C","CC","Regular","3",
"9288","F3364","9422","5/15/2023","10/17/2023","TZZZZ - AVÓ","","238","","","","12/25/2023","113","","","A","AA","Regular","2",
"9295","F3366","9680","5/15/2023","10/17/2023","TZZZZ - AVÓ","","238","","","","12/17/2023","113","","","A","AA","Regular","3",
"52449","F3359","55719","5/15/2023","10/17/2023","TLLZZ - TN70","","238","","","","12/26/2023","98","BMBE0425","BNTL4064","C","CC","Regular","3",
"9276","F3369","9610","5/15/2023","10/24/2023","TZZZZ - AVÓ","","238","","","","12/21/2023","113","","","A","AA","Regular","2",
"9277","F3365","9421","5/15/2023","10/24/2023","TZZZZ - AVÓ","","238","","","","12/25/2023","113","","","A","AA","Regular","1",
"51671","F3361","55710","5/15/2023","10/24/2023","TLLZZ - TN70","","238","","","","12/30/2023","98","BMBE0425","BNTL4064","C","CC","Regular","3",
"52083","F3348","55687","5/14/2023","10/17/2023","TLLZZ - TN70","","239","","","","12/24/2023","98","BMBE0481","BNTL4064","C","CC","Regular","4",
"52428","F3371","55685","5/17/2023","10/17/2023","TLLZZ - TN70","","236","","","","12/28/2023","98","BMBD5676","BNTL4064","C","CC","Regular","4",
"51957","F3401","59116","5/18/2023","10/31/2023","TLLZZ - TN70","","235","","","","12/10/2023","98","BMBE6458","BNTK6217","C","CC","Regular","1",
"51919","F3395","59131","5/18/2023","10/31/2023","TLLZZ - TN70","","235","","","","12/20/2023","119","BMBE6309","GNHB5540","C","CC","Regular","2",
"52205","F3415","59162","5/19/2023","10/31/2023","TLLZZ - TN70","","234","","","","12/23/2023","120","BMBE3314","GNHB5540","C","CC","Regular","3",
"52447","F3433","55728","5/20/2023","10/17/2023","TLLZZ - TN70","","233","","","","12/24/2023","98","BMBE0197","BNTK6217","C","CC","Regular","2",
"51658","F3432","55725","5/20/2023","10/24/2023","TLLZZ - TN70","","233","","","","1/4/2024","98","BMBE0197","BNTK6217","C","CC","Regular","4",
"51672","F3437","55732","5/20/2023","10/24/2023","TLLZZ - TN70","","233","","","","12/31/2023","98","BMBE6308","BNTK6217","C","CC","Regular","4",
"51872","F3435","59130","5/20/2023","10/31/2023","TLLZZ - TN70","","233","","","","1/4/2024","98","BMBE0197","BNTK6217","C","CC","Regular","3",
"52203","F3422","59153","5/20/2023","10/31/2023","TLLZZ - TN70","","233","","","","1/3/2024","98","BMBE6456","GNHA7581","C","CC","Regular","4",
"52209","F3428","59181","5/20/2023","10/31/2023","TLLZZ - TN70","","233","","","","1/1/2024","98","BMBE0399","BNTK6217","C","CC","Regular","2",
"52215","F3429","59164","5/20/2023","10/31/2023","TLLZZ - TN70","","233","","","","1/1/2024","98","BMBE0399","BNTK6217","C","CC","Regular","3",
"52223","F3423","59187","5/20/2023","10/31/2023","TLLZZ - TN70","","233","","","","1/5/2024","98","BMBE6456","GNHA7581","C","CC","Regular","4",
"52444","F3405","55762","5/19/2023","10/17/2023","TLLZZ - TN70","","234","","","","12/30/2023","114","BMBE0034","GNHB5540","C","CC","Regular","4",
"52091","F3318","55695","5/14/2023","10/17/2023","TLLZZ - TN70","","239","","","","1/5/2024","118","BMBD5873","BNTL4064","C","CC","Regular","4",
"51409","F3416","55772","5/19/2023","10/24/2023","TLLZZ - TN70","","234","","","","12/22/2023","120","BMBE3314","GNHB5540","C","CC","Regular","2",
"51659","F3421","55691","5/19/2023","10/24/2023","TLLZZ - TN70","","234","","","","12/22/2023","120","BMBE3314","GNHB5540","C","CC","Regular","2",
"51662","F3407","55753","5/19/2023","10/24/2023","TLLZZ - TN70","","234","","","","12/28/2023","114","BMBE0034","GNHB5540","C","CC","Regular","3",
"51665","F3420","55751","5/19/2023","10/24/2023","TLLZZ - TN70","","234","","","","11/30/2023","120","BMBE3314","GNHB5540","C","CC","Regular","1",
"51667","F3417","55733","5/19/2023","10/24/2023","TLLZZ - TN70","","234","","","","1/4/2024","120","BMBE3314","GNHB5540","C","CC","Regular","4",
"51670","F3403","55756","5/19/2023","10/24/2023","TLLZZ - TN70","","234","","","","12/26/2023","114","BMBE0034","GNHB5540","C","CC","Regular","3",
"51675","F3418","55704","5/19/2023","10/24/2023","TLLZZ - TN70","","234","","","","12/23/2023","120","BMBE3314","GNHB5540","C","CC","Regular","3",
"51904","F3413","59105","5/19/2023","10/31/2023","TLLZZ - TN70","","234","","","","12/21/2023","120","BMBE3314","GNHB5540","C","CC","Regular","2",
"51953","F3406","59189","5/19/2023","10/31/2023","TLLZZ - TN70","","234","","","","12/24/2023","114","BMBE0034","GNHB5540","C","CC","Regular","2",
"51956","F3409","59195","5/19/2023","10/31/2023","TLLZZ - TN70","","234","","","","12/22/2023","114","BMBE0034","GNHB5540","C","CC","Regular","3",
"51424","F3404","55644","5/19/2023","10/24/2023","TLLZZ - TN70","","234","","","","12/21/2023","114","BMBE0034","GNHB5540","C","CC","Regular","3",
"52098","F3207","55512","5/9/2023","10/17/2023","TLLZZ - TN70","","244","","","","12/21/2023","106","BMBE0424","BNTK4538","C","CC","Regular","3",
"52442","F3352","55697","5/14/2023","10/17/2023","TLLZZ - TN70","","239","","","","12/31/2023","98","BMBE0481","BNTL4064","C","CC","Regular","4",
"51422","F3350","55647","5/14/2023","10/24/2023","TLLZZ - TN70","","239","","","","12/19/2023","98","BMBE0481","BNTL4064","C","CC","Regular","3",
"9267","F3292","9406","5/11/2023","10/31/2023","TZZZZ - AVÓ","","242","","","","12/21/2023","111","","","A","AA","Regular","2",
"9269","F3285","9411","5/11/2023","10/31/2023","TZZZZ - AVÓ","","242","","","","12/24/2023","111","","","A","AA","Regular","2",
"51955","F3265","59148","5/11/2023","10/31/2023","TLLZZ - TN70","","242","","","","12/29/2023","107","BMBD7959","BNTK4282","C","CC","Regular","2",
"51485","F3241","55528","5/10/2023","10/10/2023","TLLZZ - TN70","","243","","","","12/31/2023","98","BMBC8772","BNTK4282","C","CC","Regular","4",
"51493","F3248","55569","5/10/2023","10/10/2023","TLLZZ - TN70","","243","","","","1/7/2024","103","BMBE0496","BNTK4282","C","CC","Regular","2",
"52080","F3235","55523","5/10/2023","10/17/2023","TLLZZ - TN70","","243","","","","12/2/2023","98","BMBC8772","BNTK4282","C","CC","Regular","1",
"52097","F3224","55589","5/10/2023","10/17/2023","TLLZZ - TN70","","243","","","","12/4/2023","98","BMBE6200","FVAD2329","C","CC","Regular","1",
"52426","F3249","55597","5/10/2023","10/17/2023","TLLZZ - TN70","","243","","","","12/19/2023","103","BMBE0496","BNTK4282","C","CC","Regular","2",
"52427","F3217","55568","5/10/2023","10/17/2023","TLLZZ - TN70","","243","","","","12/22/2023","98","BMBE3542","BNTK5513","C","CC","Regular","3",
"52432","F3214","55558","5/10/2023","10/17/2023","TLLZZ - TN70","","243","","","","12/19/2023","98","BMBE3542","BNTK5513","C","CC","Regular","4",
"52437","F3247","55516","5/10/2023","10/17/2023","TLLZZ - TN70","","243","","","","12/18/2023","103","BMBE0496","BNTK4282","C","CC","Regular","3",
"51401","F3216","55504","5/10/2023","10/24/2023","TLLZZ - TN70","","243","","","","12/26/2023","98","BMBE3542","BNTK5513","C","CC","Regular","4",
"51419","F3222","55573","5/10/2023","10/24/2023","TLLZZ - TN70","","243","","","","12/19/2023","98","BMBE6200","FVAD2329","C","CC","Regular","3",
"51425","F3243","55596","5/10/2023","10/24/2023","TLLZZ - TN70","","243","","","","12/31/2023","98","BMBC8772","BNTK4282","C","CC","Regular","4",
"51661","F3252","55559","5/10/2023","10/24/2023","TLLZZ - TN70","","243","","","","12/23/2023","103","BMBE0496","BNTK4282","C","CC","Regular","2",
"51920","F3240","59176","5/10/2023","10/31/2023","TLLZZ - TN70","","243","","","","12/28/2023","98","BMBC8772","BNTK4282","C","CC","Regular","3",
"51967","F3250","59169","5/10/2023","10/31/2023","TLLZZ - TN70","","243","","","","12/27/2023","103","BMBE0496","BNTK4282","C","CC","Regular","3",
"9492","F3201","9684","5/9/2023","10/10/2023","TZZZZ - AVÓ","","244","","","","12/21/2023","105","","","A","AA","Regular","1",
"51491","F3187","55570","5/9/2023","10/10/2023","TLLZZ - TN70","","244","","","","12/21/2023","98","BMBE0475","BNTK4538","C","CC","Regular","3",
"9255","F3290","9706","5/11/2023","10/31/2023","TZZZZ - AVÓ","","242","","","","12/17/2023","111","","","A","AA","Regular","2",
"51669","F3255","55548","5/11/2023","10/24/2023","TLLZZ - TN70","","242","","","","12/30/2023","110","BMBE5906","BNTK4282","C","CC","Regular","4",
"51651","F3274","55544","5/11/2023","10/24/2023","TLLZZ - TN70","","242","","","","1/1/2024","107","BMBD7959","BNTK4282","C","CC","Regular","4",
"51418","F3264","53848","5/11/2023","10/24/2023","TLLZZ - TN70","","242","","","","12/29/2023","107","BMBD7959","BNTK4282","C","CC","Regular","3",
"51656","F3311","55699","5/14/2023","10/24/2023","TLLZZ - TN70","","239","","","","12/28/2023","118","BMBD5873","BNTL4064","C","CC","Regular","3",
"51664","F3323","55625","5/14/2023","10/24/2023","TLLZZ - TN70","","239","","","","12/21/2023","98","BMBE0360","BNTL4064","C","CC","Regular","2",
"51668","F3349","55563","5/14/2023","10/24/2023","TLLZZ - TN70","","239","5V","","","12/16/2023","98","BMBE0481","BNTL4064","C","CC","Regular","3",
"51959","F3347","59184","5/14/2023","10/31/2023","TLLZZ - TN70","","239","","","","1/7/2024","98","BMBE0481","BNTL4064","C","CC","Regular","4",
"52094","F3305","55681","5/13/2023","10/17/2023","TLLZZ - TN70","","240","","","","12/29/2023","117","BMBE0426","BNTL4064","C","CC","Regular","4",
"9270","F3304","9403","5/13/2023","10/24/2023","TZZZZ - AVÓ","","240","","","","12/26/2023","111","","","A","AA","Regular","1",
"51420","F3307","55638","5/13/2023","10/24/2023","TLLZZ - TN70","","240","","","","12/31/2023","117","BMBE0426","BNTL4064","C","CC","Regular","4",
"51652","F3306","55686","5/13/2023","10/24/2023","TLLZZ - TN70","","240","","","","12/26/2023","117","BMBE0426","BNTL4064","C","CC","Regular","4",
"51912","F3294","59155","5/12/2023","10/31/2023","TLLZZ - TN70","","241","","","","12/28/2023","98","BMBD7958","BNTK5513","C","CC","Regular","2",
"51421","F3312","55557","5/14/2023","10/24/2023","TLLZZ - TN70","","239","","","","12/20/2023","118","BMBD5873","BNTL4064","C","CC","Regular","3",
"52211","F3295","59188","5/12/2023","10/31/2023","TLLZZ - TN70","","241","","","","12/31/2023","98","BMBD7958","BNTK5513","C","CC","Regular","3",
"9291","F3286","9707","5/11/2023","10/17/2023","TZZZZ - AVÓ","","242","","","","12/18/2023","111","","","A","AA","Regular","2",
"9296","F3288","9692","5/11/2023","10/17/2023","TZZZZ - AVÓ","","242","","","","12/24/2023","111","","","A","AA","Regular","3",
"52076","F3280","55582","5/11/2023","10/17/2023","TLLZZ - TN70","","242","","","","12/18/2023","98","BMBE3071","BNTK4611","C","CC","Regular","4",
